"theme","counts"
"Indonesia+Urban_Growth","240"
"Thailand+Urban_Growth","82"
"Singapore+Urban_Growth","183"
"Malaysia+Urban_Growth","151"
"Philippines+Urban_Growth","47"
"Vietnam+Urban_Growth","96"
"Brunei+Urban_Growth","3"
"Cambodia+Urban_Growth","12"
"Myanmar+Urban_Growth","20"
"Laos+Urban_Growth","7"
"United_Kingdom+Urban_Growth","255"
"Europe+Urban_Growth","817"
"Southeast_Asia+Urban_Segregation","0"
"Indonesia+Urban_Segregation","0"
"Thailand+Urban_Segregation","0"
"Singapore+Urban_Segregation","2"
"Malaysia+Urban_Segregation","0"
"Philippines+Urban_Segregation","0"
"Vietnam+Urban_Segregation","0"
"Brunei+Urban_Segregation","0"
"Cambodia+Urban_Segregation","0"
"Myanmar+Urban_Segregation","0"
"Laos+Urban_Segregation","0"
"United_Kingdom+Urban_Segregation","4"
"Europe+Urban_Segregation","20"
"Southeast_Asia+Urbanisation","623"
"Indonesia+Urbanisation","530"
"Thailand+Urbanisation","445"
"Singapore+Urbanisation","673"
"Malaysia+Urbanisation","719"
"Philippines+Urbanisation","298"
"Vietnam+Urbanisation","403"
"Brunei+Urbanisation","10"
"Cambodia+Urbanisation","72"
"Myanmar+Urbanisation","58"
"Laos+Urbanisation","37"
"United_Kingdom+Urbanisation","734"
"Europe+Urbanisation","3,049"
